DEMO Traffic Flow Sunday 01 March 2020
Time	TcsNo	Approach	Volume
02/03/2020 07:05	8207	Approach  1 (det:  1-8)	184
02/03/2020 07:10	8207	Approach  1 (det:  1-8)	185
02/03/2020 07:15	8207	Approach  1 (det:  1-8)	173
02/03/2020 07:20	8207	Approach  1 (det:  1-8)	178
02/03/2020 07:25	8207	Approach  1 (det:  1-8)	161
02/03/2020 07:30	8207	Approach  1 (det:  1-8)	159
02/03/2020 07:35	8207	Approach  1 (det:  1-8)	160
02/03/2020 07:40	8207	Approach  1 (det:  1-8)	178
02/03/2020 07:45	8207	Approach  1 (det:  1-8)	177
02/03/2020 07:50	8207	Approach  1 (det:  1-8)	180
02/03/2020 07:55	8207	Approach  1 (det:  1-8)	130
02/03/2020 08:00	8207	Approach  1 (det:  1-8)	160
02/03/2020 08:05	8207	Approach  1 (det:  1-8)	139
02/03/2020 08:10	8207	Approach  1 (det:  1-8)	171
02/03/2020 08:15	8207	Approach  1 (det:  1-8)	146
02/03/2020 08:20	8207	Approach  1 (det:  1-8)	149
02/03/2020 08:25	8207	Approach  1 (det:  1-8)	136
02/03/2020 08:30	8207	Approach  1 (det:  1-8)	152
02/03/2020 08:35	8207	Approach  1 (det:  1-8)	129
02/03/2020 08:40	8207	Approach  1 (det:  1-8)	121
02/03/2020 08:45	8207	Approach  1 (det:  1-8)	124
02/03/2020 08:50	8207	Approach  1 (det:  1-8)	127
02/03/2020 08:55	8207	Approach  1 (det:  1-8)	127
02/03/2020 09:00	8207	Approach  1 (det:  1-8)	124
02/03/2020 09:05	8207	Approach  1 (det:  1-8)	126
02/03/2020 09:10	8207	Approach  1 (det:  1-8)	109
02/03/2020 09:15	8207	Approach  1 (det:  1-8)	133
02/03/2020 09:20	8207	Approach  1 (det:  1-8)	126
02/03/2020 09:25	8207	Approach  1 (det:  1-8)	112
02/03/2020 09:30	8207	Approach  1 (det:  1-8)	118
02/03/2020 09:35	8207	Approach  1 (det:  1-8)	110
02/03/2020 09:40	8207	Approach  1 (det:  1-8)	121
02/03/2020 09:45	8207	Approach  1 (det:  1-8)	117
02/03/2020 09:50	8207	Approach  1 (det:  1-8)	125
02/03/2020 09:55	8207	Approach  1 (det:  1-8)	115
02/03/2020 10:00	8207	Approach  1 (det:  1-8)	139
02/03/2020 10:05	8207	Approach  1 (det:  1-8)	132
02/03/2020 10:10	8207	Approach  1 (det:  1-8)	95
02/03/2020 10:15	8207	Approach  1 (det:  1-8)	117
02/03/2020 10:20	8207	Approach  1 (det:  1-8)	110
02/03/2020 10:25	8207	Approach  1 (det:  1-8)	114
02/03/2020 10:30	8207	Approach  1 (det:  1-8)	122
02/03/2020 10:35	8207	Approach  1 (det:  1-8)	116
02/03/2020 10:40	8207	Approach  1 (det:  1-8)	128
02/03/2020 10:45	8207	Approach  1 (det:  1-8)	98
02/03/2020 10:50	8207	Approach  1 (det:  1-8)	119
02/03/2020 10:55	8207	Approach  1 (det:  1-8)	120
02/03/2020 11:00	8207	Approach  1 (det:  1-8)	117
02/03/2020 11:05	8207	Approach  1 (det:  1-8)	135
02/03/2020 11:10	8207	Approach  1 (det:  1-8)	124
02/03/2020 11:15	8207	Approach  1 (det:  1-8)	122
02/03/2020 11:20	8207	Approach  1 (det:  1-8)	117
02/03/2020 11:25	8207	Approach  1 (det:  1-8)	134
02/03/2020 11:30	8207	Approach  1 (det:  1-8)	149
02/03/2020 11:35	8207	Approach  1 (det:  1-8)	134
02/03/2020 11:40	8207	Approach  1 (det:  1-8)	140
02/03/2020 11:45	8207	Approach  1 (det:  1-8)	149
02/03/2020 11:50	8207	Approach  1 (det:  1-8)	114
02/03/2020 11:55	8207	Approach  1 (det:  1-8)	134
02/03/2020 12:00	8207	Approach  1 (det:  1-8)	115
02/03/2020 12:05	8207	Approach  1 (det:  1-8)	136
02/03/2020 12:10	8207	Approach  1 (det:  1-8)	140
02/03/2020 12:15	8207	Approach  1 (det:  1-8)	158
02/03/2020 12:20	8207	Approach  1 (det:  1-8)	147
02/03/2020 12:25	8207	Approach  1 (det:  1-8)	154
02/03/2020 12:30	8207	Approach  1 (det:  1-8)	131
02/03/2020 12:35	8207	Approach  1 (det:  1-8)	140
02/03/2020 12:40	8207	Approach  1 (det:  1-8)	168
02/03/2020 12:45	8207	Approach  1 (det:  1-8)	151
02/03/2020 12:50	8207	Approach  1 (det:  1-8)	126
02/03/2020 12:55	8207	Approach  1 (det:  1-8)	149
